customer_id,account_number,salary_day,salary_amount,has_rent,rent_amount,has_emi,emi_amount,avg_monthly_utilities
101,00120000101,8,177488,1,6535,1,9384,1282
102,00120000102,21,188084,0,0,0,0,2039
103,00120000103,16,120585,1,14140,0,0,3042
104,00120000104,13,167472,1,25245,0,0,4183
105,00120000105,18,63270,0,0,0,0,1202
106,00120000106,15,134415,0,0,1,13476,1564
107,00120000107,21,195905,0,0,1,12364,2635
108,00120000108,24,95206,0,0,0,0,3389
109,00120000109,26,84468,1,5201,0,0,1603
110,00120000110,25,191881,1,14011,0,0,3802
111,00120000111,28,184400,0,0,1,14309,3562
112,00120000112,28,182856,1,21028,0,0,3619
113,00120000113,28,38723,0,0,1,19238,3924
114,00120000114,13,75646,0,0,0,0,3995
115,00120000115,9,15074,1,26335,1,14891,1109
116,00120000116,15,41498,1,24606,0,0,4627
117,00120000117,13,111881,0,0,0,0,3760
118,00120000118,1,166613,0,0,0,0,3056
119,00120000119,25,60929,0,0,0,0,1234
120,00120000120,7,138199,1,7088,0,0,3923
121,00120000121,9,41028,1,12688,0,0,1649
122,00120000122,24,44545,1,14208,0,0,906
123,00120000123,1,94569,1,12664,0,0,3471
124,00120000124,12,46673,1,14080,1,7928,919
125,00120000125,8,177046,0,0,0,0,3834
126,00120000126,24,169169,0,0,0,0,2692
127,00120000127,11,117511,0,0,1,15613,2961
128,00120000128,19,108144,1,14714,1,3556,4516
129,00120000129,17,79824,1,8312,1,11704,1559
130,00120000130,8,38525,0,0,0,0,2446
131,00120000131,3,72804,1,22632,1,9438,1031
132,00120000132,3,161115,1,24845,1,8786,2394
133,00120000133,1,56846,1,23150,1,7151,1361
134,00120000134,27,92261,0,0,1,16199,2606
135,00120000135,5,196299,0,0,0,0,1675
136,00120000136,10,199100,1,26028,0,0,2438
137,00120000137,7,183455,0,0,1,8016,1792
138,00120000138,26,44483,1,14580,1,9509,4535
139,00120000139,9,22265,1,27880,0,0,2356
140,00120000140,28,37763,0,0,0,0,3276
141,00120000141,7,30733,0,0,1,11916,4371
142,00120000142,9,127196,0,0,1,17202,1476
143,00120000143,8,106038,0,0,0,0,4556
144,00120000144,12,52420,0,0,0,0,1224
145,00120000145,2,155319,0,0,0,0,2400
146,00120000146,1,169912,0,0,1,8208,2140
147,00120000147,16,36058,0,0,0,0,1429
148,00120000148,23,49929,0,0,0,0,3808
149,00120000149,23,177434,0,0,0,0,2865
150,00120000150,24,101489,1,5455,0,0,967
151,00120000151,5,99664,0,0,1,10624,4805
152,00120000152,3,193428,1,17232,0,0,4812
153,00120000153,12,92597,1,26929,1,19969,816
154,00120000154,8,21041,0,0,0,0,2345
155,00120000155,22,93209,1,11026,0,0,2330
156,00120000156,27,167131,1,33237,0,0,4613
157,00120000157,3,114864,0,0,1,9420,2297
158,00120000158,1,190794,1,7978,1,15002,1342
159,00120000159,3,163620,1,6471,1,7031,1526
160,00120000160,5,161150,0,0,1,10442,1178
161,00120000161,15,151491,1,4367,0,0,4293
162,00120000162,14,181562,1,17417,0,0,4263
163,00120000163,3,130158,1,23560,0,0,1645
164,00120000164,1,176409,1,7374,0,0,4652
165,00120000165,5,16468,0,0,0,0,1473
166,00120000166,26,39309,0,0,0,0,4320
167,00120000167,23,87255,1,7812,0,0,3839
168,00120000168,14,96899,0,0,1,12441,2857
169,00120000169,7,43718,1,26369,1,4737,1537
170,00120000170,27,183913,1,22581,0,0,4758
171,00120000171,9,192732,0,0,0,0,4249
172,00120000172,15,121553,0,0,0,0,2524
173,00120000173,15,65281,0,0,0,0,3453
174,00120000174,26,128451,1,18351,0,0,1861
175,00120000175,10,15767,1,4900,0,0,2118
176,00120000176,28,149967,1,20576,0,0,1629
177,00120000177,13,73026,1,6770,0,0,4385
178,00120000178,19,133142,0,0,1,14815,4021
179,00120000179,7,57968,1,15540,1,4854,4184
180,00120000180,17,186169,0,0,0,0,2947
181,00120000181,20,161404,1,19308,0,0,2102
182,00120000182,4,160693,1,21334,0,0,3875
183,00120000183,5,91870,1,10679,1,3605,2760
184,00120000184,23,33174,1,7606,0,0,2500
185,00120000185,7,139357,0,0,1,16371,3820
186,00120000186,13,114189,1,25422,0,0,1824
187,00120000187,15,55502,1,4257,0,0,1399
188,00120000188,11,51674,0,0,1,15680,2241
189,00120000189,4,52260,0,0,1,16100,4905
190,00120000190,13,188570,1,21034,1,9157,3222
191,00120000191,7,195536,1,14510,1,19045,1445
192,00120000192,27,86805,0,0,0,0,2791
193,00120000193,19,32194,0,0,1,16225,3996
194,00120000194,22,172883,0,0,0,0,4172
195,00120000195,28,87377,1,34586,1,5676,2446
196,00120000196,2,145864,0,0,1,4215,3941
197,00120000197,10,58723,1,29498,0,0,2554
198,00120000198,13,91298,1,23543,0,0,1550
199,00120000199,25,74238,0,0,0,0,1642
200,00120000200,21,120433,1,25685,1,9628,4214
201,00120000201,6,122092,1,15106,1,3600,4228
202,00120000202,28,17147,1,25786,0,0,4310
203,00120000203,28,53445,1,28084,0,0,3103
204,00120000204,12,199875,0,0,1,5716,3514
205,00120000205,12,121170,0,0,0,0,2305
206,00120000206,20,148085,1,12396,0,0,2227
207,00120000207,11,100617,1,15207,1,17852,4654
208,00120000208,26,68502,0,0,0,0,3542
209,00120000209,23,132116,0,0,1,17965,4871
210,00120000210,28,52755,1,7371,0,0,4074
211,00120000211,25,154805,0,0,0,0,3408
212,00120000212,7,24479,0,0,1,19189,3174
213,00120000213,1,90361,1,13897,0,0,3264
214,00120000214,1,167376,1,25782,0,0,4605
215,00120000215,25,181766,1,21096,1,16837,4735
216,00120000216,27,139232,0,0,0,0,2183
217,00120000217,25,120586,1,14876,0,0,4420
218,00120000218,20,96171,1,27331,0,0,4076
219,00120000219,13,129151,1,8406,1,9077,3750
220,00120000220,9,101296,0,0,0,0,1079
221,00120000221,3,155562,1,15791,1,9614,4778
222,00120000222,7,167324,0,0,0,0,3070
223,00120000223,6,152934,0,0,0,0,2955
224,00120000224,8,84959,1,11649,1,11446,1483
225,00120000225,27,156522,1,7877,0,0,1401
226,00120000226,9,71022,1,23906,0,0,2843
227,00120000227,5,76991,0,0,0,0,2332
228,00120000228,1,186999,1,16818,0,0,1760
229,00120000229,19,64853,1,8112,1,9642,3877
230,00120000230,10,46826,1,31341,0,0,1306
231,00120000231,12,57879,1,8565,1,19855,2622
232,00120000232,24,87361,0,0,0,0,1994
233,00120000233,15,92990,0,0,0,0,1674
234,00120000234,27,104787,0,0,0,0,3115
235,00120000235,22,55736,1,30716,1,11330,3603
236,00120000236,24,39530,1,8977,0,0,3607
237,00120000237,9,193130,0,0,0,0,2917
238,00120000238,20,121080,1,33492,1,6796,3990
239,00120000239,17,89255,0,0,0,0,4588
240,00120000240,17,150958,1,25325,0,0,1533
241,00120000241,26,141598,1,27713,0,0,2461
242,00120000242,20,133623,0,0,1,13075,4934
243,00120000243,12,52387,0,0,1,8581,1769
244,00120000244,7,167647,0,0,0,0,1061
245,00120000245,2,127260,1,8038,0,0,4399
246,00120000246,3,185715,1,5804,0,0,4759
247,00120000247,17,156172,0,0,0,0,1185
248,00120000248,5,153928,0,0,1,16056,1834
249,00120000249,17,184241,0,0,0,0,2339
250,00120000250,24,174876,1,18906,1,16556,2606
251,00120000251,17,181862,0,0,0,0,4963
252,00120000252,27,45988,0,0,0,0,3274
253,00120000253,17,91448,0,0,0,0,2856
254,00120000254,2,184578,1,27502,0,0,2400
255,00120000255,2,128430,1,33493,0,0,4487
256,00120000256,28,158377,0,0,0,0,1600
257,00120000257,22,156041,0,0,0,0,2869
258,00120000258,23,27404,0,0,0,0,4075
259,00120000259,5,155061,0,0,0,0,4394
260,00120000260,1,182055,0,0,0,0,3657
261,00120000261,1,185534,1,25350,0,0,2285
262,00120000262,19,34360,1,13585,0,0,4973
263,00120000263,2,100657,1,19776,0,0,4952
264,00120000264,21,172359,1,20640,0,0,1138
265,00120000265,12,49160,1,4127,0,0,1073
266,00120000266,26,21789,1,13574,0,0,4761
267,00120000267,6,173253,1,33851,1,13534,2692
268,00120000268,23,160457,1,15920,0,0,4556
269,00120000269,4,97597,1,18392,1,12074,3238
270,00120000270,23,80641,1,18917,0,0,2721
271,00120000271,11,59247,1,34643,0,0,4213
272,00120000272,24,101673,0,0,0,0,2083
273,00120000273,27,20544,1,27251,1,16167,4891
274,00120000274,17,159347,1,28238,1,3677,3021
275,00120000275,6,78248,0,0,0,0,2547
276,00120000276,24,49550,0,0,1,16815,4066
277,00120000277,5,68693,1,6205,1,10232,4312
278,00120000278,20,143924,0,0,0,0,4178
279,00120000279,2,165713,0,0,0,0,3442
280,00120000280,6,95021,0,0,0,0,1355
281,00120000281,22,30605,1,34225,0,0,3054
282,00120000282,11,65713,0,0,0,0,1940
283,00120000283,16,166462,1,12067,0,0,4604
284,00120000284,16,90403,0,0,0,0,2585
285,00120000285,1,73466,0,0,1,16497,1913
286,00120000286,9,18981,1,16148,0,0,3899
287,00120000287,28,155565,0,0,0,0,4415
288,00120000288,27,130631,1,16901,0,0,2040
289,00120000289,6,134238,0,0,1,18857,4692
290,00120000290,16,110335,0,0,0,0,870
291,00120000291,3,122441,1,13708,0,0,4925
292,00120000292,20,31984,0,0,0,0,3668
293,00120000293,28,140580,1,24708,0,0,2344
294,00120000294,27,126316,1,18117,0,0,3170
295,00120000295,4,168832,0,0,0,0,3217
296,00120000296,19,147596,1,34001,0,0,1979
297,00120000297,26,133454,0,0,1,6019,3513
298,00120000298,3,64402,1,28694,0,0,1906
299,00120000299,19,106656,1,20221,0,0,3252
300,00120000300,20,80614,0,0,0,0,4151
301,00120000301,7,181963,1,6371,0,0,1080
302,00120000302,20,106009,0,0,1,6249,2515
303,00120000303,9,185904,0,0,0,0,1913
304,00120000304,1,60836,0,0,1,3016,2976
305,00120000305,8,159434,0,0,1,10083,2787
306,00120000306,7,183993,0,0,0,0,3978
307,00120000307,18,164634,1,32494,0,0,3821
308,00120000308,8,146049,0,0,0,0,3870
309,00120000309,1,91407,1,26836,0,0,2328
310,00120000310,11,22610,1,26776,1,15893,3639
311,00120000311,28,124381,0,0,1,13003,1930
312,00120000312,25,30791,0,0,0,0,4204
313,00120000313,25,73047,0,0,0,0,4101
314,00120000314,18,165737,0,0,1,9230,2729
315,00120000315,23,85246,0,0,0,0,1492
316,00120000316,10,192523,0,0,0,0,3245
317,00120000317,3,101148,1,24885,0,0,1513
318,00120000318,7,60890,1,7047,1,4624,3644
319,00120000319,28,152866,1,17492,0,0,3556
320,00120000320,16,47888,0,0,0,0,2529
321,00120000321,26,152821,1,26178,1,10303,2627
322,00120000322,16,61531,1,17894,1,10940,2321
323,00120000323,25,130652,1,15857,1,13196,1100
324,00120000324,20,35608,0,0,0,0,4892
325,00120000325,28,95986,0,0,0,0,1828
326,00120000326,17,98996,1,33538,1,5767,4718
327,00120000327,2,71017,1,33230,0,0,2619
328,00120000328,1,72676,1,28769,0,0,4922
329,00120000329,16,26560,1,11391,0,0,2510
330,00120000330,12,65468,1,6446,0,0,3986
331,00120000331,5,178535,0,0,0,0,4992
332,00120000332,5,177735,0,0,1,11207,1959
333,00120000333,27,48123,1,33705,0,0,1187
334,00120000334,23,109346,1,21783,1,11114,2703
335,00120000335,9,155790,1,14711,0,0,2698
336,00120000336,9,15028,1,26679,0,0,2238
337,00120000337,3,62599,1,16119,1,19065,1801
338,00120000338,19,163469,1,7687,1,7923,1959
339,00120000339,16,60406,1,20367,0,0,1612
340,00120000340,16,62657,0,0,1,11470,2189
341,00120000341,3,82560,0,0,1,14134,3810
342,00120000342,20,119143,0,0,0,0,3196
343,00120000343,24,159575,1,20936,0,0,2147
344,00120000344,22,69943,0,0,1,5085,3795
345,00120000345,24,90839,0,0,0,0,2337
346,00120000346,1,97674,1,12921,0,0,2286
347,00120000347,24,40345,1,22944,0,0,3946
348,00120000348,20,65390,1,32573,0,0,2582
349,00120000349,11,74557,1,9108,1,15332,3348
350,00120000350,17,16906,1,8266,1,5677,2550
351,00120000351,8,186239,0,0,1,3293,2813
352,00120000352,4,22961,1,12985,1,15454,3035
353,00120000353,6,172212,1,26068,0,0,4364
354,00120000354,8,134289,1,28700,0,0,3348
355,00120000355,20,92567,0,0,0,0,3024
356,00120000356,3,95664,1,6551,0,0,1769
357,00120000357,16,96199,0,0,0,0,1072
358,00120000358,25,114764,1,34472,0,0,2386
359,00120000359,3,137357,1,7456,0,0,3624
360,00120000360,25,95729,0,0,0,0,4318
361,00120000361,18,174633,1,16031,1,8700,3188
362,00120000362,14,65568,1,24139,1,10649,4820
363,00120000363,18,124349,1,24026,1,15804,4620
364,00120000364,2,88302,0,0,1,13503,3584
365,00120000365,22,109968,0,0,0,0,1428
366,00120000366,3,175576,1,14162,0,0,1144
367,00120000367,16,131116,0,0,0,0,1355
368,00120000368,9,52146,1,31151,0,0,4810
369,00120000369,4,55297,0,0,0,0,3719
370,00120000370,1,101394,1,33066,1,15831,1259
371,00120000371,4,142173,0,0,0,0,3588
372,00120000372,1,140942,0,0,1,18546,3611
373,00120000373,14,31939,0,0,0,0,3335
374,00120000374,21,196787,1,17009,1,19348,3915
375,00120000375,16,59460,0,0,0,0,3349
376,00120000376,20,158738,1,34702,0,0,859
377,00120000377,24,77119,0,0,0,0,3985
378,00120000378,8,181393,1,29884,1,14460,2594
379,00120000379,7,147851,1,15727,0,0,2764
380,00120000380,3,159258,1,26509,0,0,2293
381,00120000381,17,162531,1,34375,1,3069,3396
382,00120000382,1,20057,0,0,0,0,3465
383,00120000383,16,164805,0,0,0,0,4976
384,00120000384,12,34157,0,0,0,0,3869
385,00120000385,27,50030,0,0,1,9074,3256
386,00120000386,19,165685,0,0,0,0,3567
387,00120000387,22,123612,1,23307,1,4654,3212
388,00120000388,23,130080,1,15233,1,19485,3862
389,00120000389,22,98028,1,23092,1,12923,2936
390,00120000390,14,151260,1,32915,1,8708,2603
391,00120000391,6,44680,1,16600,0,0,1896
392,00120000392,6,117302,1,24555,1,15516,4548
393,00120000393,13,51445,1,32528,0,0,1010
394,00120000394,19,20796,1,14501,0,0,1333
395,00120000395,22,62218,0,0,0,0,1740
396,00120000396,8,185203,1,23134,0,0,4737
397,00120000397,27,154195,1,19739,0,0,2065
398,00120000398,27,154294,0,0,0,0,811
399,00120000399,2,39074,1,11476,1,16869,2801
400,00120000400,21,131088,1,11931,0,0,1316
401,00120000401,1,175897,1,17699,1,4758,2867
402,00120000402,28,51839,1,6804,1,11081,2524
403,00120000403,15,122112,1,20136,0,0,2983
404,00120000404,1,142514,1,25828,1,11146,972
405,00120000405,5,83322,0,0,0,0,2614
406,00120000406,28,71321,0,0,1,6180,2475
407,00120000407,16,125100,1,15775,0,0,803
408,00120000408,19,172060,1,27894,1,10816,2410
409,00120000409,4,50507,1,33187,1,19482,3593
410,00120000410,3,114244,0,0,0,0,3220
411,00120000411,17,140788,1,34244,0,0,3590
412,00120000412,17,110251,0,0,0,0,3130
413,00120000413,12,38806,0,0,0,0,2300
414,00120000414,28,145364,1,17106,1,16127,2525
415,00120000415,14,51901,1,23918,0,0,4728
416,00120000416,21,163115,1,28241,0,0,1255
417,00120000417,6,155824,1,4607,0,0,4769
418,00120000418,3,188688,1,27778,1,11345,2718
419,00120000419,28,67127,1,8618,0,0,2182
420,00120000420,9,15453,1,18089,0,0,2788
421,00120000421,5,90432,1,33884,0,0,1357
422,00120000422,24,137872,0,0,1,13203,4790
423,00120000423,17,102362,1,33708,0,0,1968
424,00120000424,14,25976,0,0,0,0,2167
425,00120000425,21,129176,0,0,1,17063,4487
426,00120000426,3,114122,0,0,0,0,2399
427,00120000427,28,85404,0,0,0,0,956
428,00120000428,1,96932,1,19794,1,13539,4179
429,00120000429,20,112170,1,34724,1,15628,1847
430,00120000430,21,92707,0,0,1,5601,1730
431,00120000431,23,179760,0,0,1,18639,1924
432,00120000432,1,108789,0,0,1,3607,2081
433,00120000433,3,111516,0,0,1,9421,1928
434,00120000434,18,148089,1,33619,1,8258,4452
435,00120000435,25,22957,1,34092,0,0,2882
436,00120000436,10,122724,1,5364,0,0,1976
437,00120000437,22,150864,1,4751,0,0,1305
438,00120000438,26,28237,1,17237,0,0,1024
439,00120000439,3,66586,0,0,1,13770,4638
440,00120000440,8,34252,0,0,0,0,4852
441,00120000441,14,156779,1,9344,1,4179,979
442,00120000442,24,180278,0,0,0,0,2128
443,00120000443,18,18543,0,0,1,12524,1541
444,00120000444,15,190207,0,0,1,17416,4689
445,00120000445,22,119647,1,5330,1,5260,1107
446,00120000446,23,50031,0,0,0,0,2066
447,00120000447,2,189001,0,0,1,6498,2068
448,00120000448,27,80747,1,27903,1,8478,4480
449,00120000449,10,70311,1,8683,1,8798,3828
450,00120000450,2,80867,0,0,0,0,4847
451,00120000451,26,103780,1,22658,0,0,1853
452,00120000452,17,72196,1,27907,0,0,2443
453,00120000453,8,88705,1,7365,0,0,2828
454,00120000454,1,72894,0,0,0,0,3573
455,00120000455,9,102640,0,0,1,16164,2825
456,00120000456,11,29591,1,24620,0,0,2830
457,00120000457,22,112247,1,8299,0,0,3808
458,00120000458,16,194965,0,0,0,0,3463
459,00120000459,7,15727,0,0,0,0,2808
460,00120000460,10,167431,0,0,0,0,2462
461,00120000461,23,58822,1,4860,0,0,4214
462,00120000462,26,118399,1,21228,0,0,832
463,00120000463,3,127113,1,31618,0,0,3081
464,00120000464,18,145431,0,0,1,15811,1329
465,00120000465,25,157001,1,15681,1,7555,2089
466,00120000466,24,143588,1,30514,0,0,2118
467,00120000467,13,75091,1,20520,1,9556,2263
468,00120000468,28,169591,1,26131,1,9121,2384
469,00120000469,26,163465,0,0,0,0,1369
470,00120000470,7,180390,1,15424,0,0,950
471,00120000471,25,109192,0,0,0,0,1144
472,00120000472,4,194006,0,0,0,0,2459
473,00120000473,13,125805,1,13345,1,10052,1733
474,00120000474,20,174912,0,0,0,0,2308
475,00120000475,1,133089,0,0,0,0,4375
476,00120000476,8,104367,0,0,0,0,3351
477,00120000477,14,28265,1,31486,0,0,1811
478,00120000478,16,151496,1,26584,1,12857,4966
479,00120000479,14,166697,1,30986,1,8690,3108
480,00120000480,12,94622,0,0,0,0,1660
481,00120000481,19,175259,0,0,0,0,2234
482,00120000482,23,50929,0,0,1,5448,2239
483,00120000483,15,76892,1,8378,0,0,4216
484,00120000484,28,166611,1,15045,0,0,4753
485,00120000485,2,71630,0,0,0,0,2261
486,00120000486,2,155287,1,15684,0,0,961
487,00120000487,23,185457,0,0,0,0,1438
488,00120000488,22,146025,1,10122,0,0,1857
489,00120000489,19,102580,1,5795,0,0,2253
490,00120000490,25,92462,1,14041,1,18847,3584
491,00120000491,26,128396,1,24697,1,17646,4167
492,00120000492,22,112037,1,12187,1,15264,4035
493,00120000493,26,110310,1,32552,0,0,2897
494,00120000494,26,171080,1,8840,0,0,2265
495,00120000495,22,63928,1,14919,0,0,3127
496,00120000496,17,104876,1,7726,0,0,4841
497,00120000497,20,39976,0,0,1,6015,3418
498,00120000498,10,139984,1,4259,1,18825,2554
499,00120000499,6,173698,0,0,0,0,1497
500,00120000500,15,113256,0,0,1,4980,4757
501,00120000501,22,115537,0,0,1,8525,3290
502,00120000502,11,150772,0,0,0,0,1312
503,00120000503,28,124331,1,17754,0,0,1608
504,00120000504,5,22526,0,0,1,15736,1838
505,00120000505,1,118863,0,0,0,0,1343
506,00120000506,8,185572,0,0,0,0,4576
507,00120000507,21,88366,1,6280,1,5895,3101
508,00120000508,28,71096,1,29531,0,0,1509
509,00120000509,12,153982,1,33788,0,0,2113
510,00120000510,12,86185,0,0,1,18949,3555
511,00120000511,5,65248,0,0,0,0,2572
512,00120000512,7,148023,1,34211,0,0,2239
513,00120000513,4,94888,1,13300,0,0,4115
514,00120000514,6,109533,0,0,0,0,1208
515,00120000515,13,56954,1,30118,0,0,3253
516,00120000516,20,104719,0,0,1,3414,2382
517,00120000517,15,154876,0,0,0,0,2021
518,00120000518,3,15595,1,30874,0,0,1362
519,00120000519,23,44592,0,0,1,16787,4577
520,00120000520,8,55643,1,14432,0,0,4982
521,00120000521,20,77665,0,0,1,13260,2555
522,00120000522,16,166895,0,0,0,0,3637
523,00120000523,13,20972,0,0,0,0,1544
524,00120000524,18,30882,1,18942,0,0,1169
525,00120000525,28,169841,1,16150,0,0,2891
526,00120000526,10,40020,1,7371,0,0,2120
527,00120000527,19,188820,1,23813,0,0,1265
528,00120000528,17,117621,1,30156,1,3603,4293
529,00120000529,24,100374,1,25244,1,16606,1272
530,00120000530,19,59912,1,11620,0,0,2096
531,00120000531,28,27879,1,6932,1,10036,1035
532,00120000532,26,48798,1,25470,0,0,4263
533,00120000533,23,122791,0,0,0,0,2478
534,00120000534,26,192145,0,0,1,5148,1065
535,00120000535,5,90791,1,14304,1,9044,3204
536,00120000536,26,81983,1,32213,0,0,938
537,00120000537,21,189077,1,12119,1,8188,2165
538,00120000538,23,148922,1,18557,0,0,2752
539,00120000539,9,174472,1,33137,1,18811,872
540,00120000540,12,26953,0,0,1,7233,962
541,00120000541,21,121410,0,0,0,0,1022
542,00120000542,1,140155,0,0,0,0,984
543,00120000543,26,169607,1,32327,0,0,894
544,00120000544,26,96029,0,0,1,7822,4672
545,00120000545,1,19055,0,0,0,0,1483
546,00120000546,15,53170,1,22953,0,0,4180
547,00120000547,2,114976,1,20343,0,0,1775
548,00120000548,22,43251,1,4783,0,0,4019
549,00120000549,16,150604,1,13898,1,6657,4493
550,00120000550,25,150996,0,0,0,0,3344
551,00120000551,8,63037,1,12555,0,0,4032
552,00120000552,13,107115,1,14767,0,0,860
553,00120000553,21,92926,1,5103,0,0,2260
554,00120000554,1,85400,1,25275,0,0,1281
555,00120000555,16,114525,0,0,1,9496,4878
556,00120000556,7,116164,0,0,0,0,4451
557,00120000557,5,156774,0,0,1,13249,1974
558,00120000558,22,121732,1,12634,0,0,3395
559,00120000559,23,30385,0,0,1,5894,4606
560,00120000560,3,24336,1,16135,0,0,1289
561,00120000561,12,80421,0,0,0,0,2730
562,00120000562,26,177297,1,33180,1,4961,1696
563,00120000563,16,51021,1,24945,0,0,3142
564,00120000564,19,149854,1,30988,0,0,3708
565,00120000565,5,132369,1,28556,1,19397,3518
566,00120000566,22,64111,0,0,1,18225,4055
567,00120000567,25,104402,1,10636,0,0,817
568,00120000568,14,134774,1,6589,1,17515,4706
569,00120000569,28,57719,1,14031,0,0,4876
570,00120000570,5,195109,0,0,0,0,1341
571,00120000571,15,140695,1,19527,0,0,997
572,00120000572,17,149585,0,0,0,0,2065
573,00120000573,14,159407,0,0,0,0,1776
574,00120000574,20,190212,1,21106,0,0,1408
575,00120000575,5,119126,1,4841,0,0,1264
576,00120000576,12,92658,1,22731,0,0,1827
577,00120000577,16,180912,0,0,1,4907,2061
578,00120000578,26,46007,1,4645,1,6991,3399
579,00120000579,26,121833,1,12215,0,0,3756
580,00120000580,16,133637,0,0,0,0,2829
581,00120000581,21,135721,0,0,1,4882,4200
582,00120000582,7,108220,1,20390,0,0,2617
